about_preference_title|Sobre
error_run_command_service_api_help|Visite %1$s para mais informações sobre como usar a Intent RUN_COMMAND.
error_run_command_service_invalid_execution_command_runner|Runner de comando de execução inválido para RunCommandService: `%1$s`
error_run_command_service_invalid_intent_action|Ação de intent inválida para RunCommandService: `%1$s`
error_run_command_service_mandatory_extra_missing|Extra obrigatório ausente para RunCommandService: \"%1$s\"
error_styling_not_installed|O aplicativo de plugin Termux:Styling não está instalado.
error_termux_service_execution_command_shell_name_unset|Nome do shell não definido, mas o modo de criação de shell `%1$s` foi passado
error_termux_service_invalid_execution_command_runner|Runner de comando de execução inválido para TermuxService: `%1$s`
error_termux_service_start_failed_bg|Falha ao iniciar TermuxService enquanto o aplicativo está em segundo plano devido às restrições de segundo plano do Android.
error_termux_service_start_failed_general|Falha ao iniciar TermuxService. Verifique o logcat para a mensagem de exceção.
error_termux_service_unsupported_execution_command_runner|Runner de comando de execução não suportado para TermuxService: `%1$s`
error_termux_service_unsupported_execution_command_shell_create_mode|Modo de criação de shell de comando de execução não suportado para TermuxService: `%1$s`
file_receiver_error_cannot_create_dir|Não é possível criar diretório: %s
file_receiver_error_cannot_open|Não é possível abrir arquivo: %s
file_receiver_error_cannot_receive|Não é possível receber nenhum arquivo ou URL.
file_receiver_error_empty_name|O nome do arquivo não pode ser nulo ou vazio
file_receiver_error_handle_shared|Não é possível processar conteúdo compartilhado:\n\n%s
file_receiver_error_invalid_path|O caminho do arquivo do URI de dados é nulo, vazio ou inválido.
file_receiver_error_no_content|Ação de envio sem conteúdo — nada para salvar.
file_receiver_error_no_data_uri|Nenhum URI de dados fornecido.
file_receiver_error_no_editor|O seguinte arquivo não existe:\n$HOME/bin/termux-file-editor\n\nCrie este arquivo como um script ou link simbólico — ele será chamado com o arquivo recebido como único argumento.
file_receiver_error_no_url_opener|O seguinte arquivo não existe:\n$HOME/bin/termux-url-opener\n\nCrie este arquivo como um script ou link simbólico — ele será chamado com a URL compartilhada como primeiro argumento.
file_receiver_error_saving_file|Erro ao salvar arquivo:\n\n%s
message_history_clear|Limpar
message_history_clear_all|LIMPAR HISTÓRICO…
message_history_clear_all_btn|Tudo
message_history_clear_all_question|Isso excluirá permanentemente todas as mensagens salvas.
message_history_clear_confirm_all|Limpar todo o histórico de mensagens? Esta ação não pode ser desfeita.
message_history_clear_confirm_current|Limpar todas as mensagens salvas do diretório atual? Esta ação não pode ser desfeita.
message_history_clear_current_only_question|Limpar histórico apenas do diretório atual?
message_history_clear_dialog_title|Limpar Histórico de Mensagens
message_history_clear_question|Limpar histórico de mensagens?
message_history_cleared|Histórico de mensagens limpo
message_history_empty|Nenhum histórico de mensagens
message_history_max_title|Máx. de mensagens salvas
message_history_title|Histórico de Mensagens
msg_add_termux_debug_info|Adicionar informações de depuração do Termux ao relatório?
msg_disabling_terminal_toolbar|Desativando barra de ferramentas do terminal
msg_enabling_terminal_toolbar|Ativando barra de ferramentas do terminal
msg_extra_keys_create_failed|Falha ao criar teclas extras padrão
msg_extra_keys_load_failed|Falha ao carregar e definir propriedade \"%1$s\" do arquivo de propriedades: %2$s
msg_generating_report|Gerando relatório
msg_max_terminals_reached|Feche os existentes antes de criar um novo.
msg_select_url_copied_to_clipboard|URL copiada para a área de transferência
msg_terminal_font_applied|Fonte aplicada
msg_terminal_reset|Terminal redefinido
notification_action_exit|Sair
notification_action_wake_lock|Adquirir wakelock
notification_action_wake_unlock|Liberar wakelock
notification_wake_lock_held| (wakelock ativo)
panel_transparency_title|Transparência do painel
per_directory_message_history_summary|Manter um histórico de mensagens separado para cada diretório de trabalho. Quando desativado, todas as sessões compartilham um histórico global.
per_directory_message_history_title|Histórico de Mensagens por Diretório
permission_run_command_description|executar comandos arbitrários no ambiente do Termux e acessar arquivos
permission_run_command_label|Executar comandos no ambiente do Termux
restore_preference_summary|Restaurar o diretório de dados do Termux a partir de um arquivo de backup tar.gz
restore_preference_title|Restaurar Dados do Termux
restore_sessions_summary|Reabrir todas as abas e seus diretórios quando o aplicativo for iniciado
restore_sessions_title|Restaurar abas na inicialização
screen_orientation_summary|Variantes \"Seguir sensor\" alternam entre as duas orientações (ex.: 0°/180° retrato).
screen_orientation_title|Orientação da tela
session_null_title|sessão nula
shared_user_label|Usuário do Termux
tab_close_description|Fechar aba
new_tab_placeholder_hint|Nova sessão
session_tabs_title|Abas de sessão
swipe_rightmost_new_tab_title|Deslizar a última aba para nova sessão
swipe_rightmost_new_tab_summary|Na última aba, deslize para a direita para revelar e abrir uma nova sessão de terminal
termux_tab_height_mode_title|Altura da aba
termux_tab_height_mode_single|Linha única
termux_tab_height_mode_double|Duas linhas
termux_tab_panel_position_title|Posição do painel de abas
termux_tab_panel_position_top|Superior
termux_tab_panel_position_bottom|Inferior
termux_api_preferences_summary|Preferências para o aplicativo Termux:API
termux_button_bg_active_alpha_title|Transparência de elemento ativo
termux_button_bg_inactive_alpha_title|Transparência de elemento inativo
termux_crash_report_notifications_enabled_off|Desativar notificações para relatórios de falha.
termux_crash_report_notifications_enabled_on|Mostrar notificações para relatórios de falha. (Padrão)
termux_crash_report_notifications_enabled_title|Notificações de Relatório de Falha
termux_debugging_preferences_summary|Preferências de depuração
termux_debugging_preferences_title|Depuração
termux_float_preferences_summary|Preferências para o aplicativo Termux:Float
termux_log_level_title|Nível de log
termux_logging_header|Registro de log
termux_plugin_error_notifications_enabled_off|Desativar flashes e notificações para erros de plugin.
termux_plugin_error_notifications_enabled_on|Mostrar flashes e notificações para erros de plugin. (Padrão)
termux_plugin_error_notifications_enabled_title|Notificações de Erro de Plugin
termux_preferences_summary|Preferências do aplicativo Termux
termux_settings_button_enabled_off|O botão de configurações está oculto. Abra as Configurações com uma pressão longa no terminal → Mais… → Configurações.
termux_settings_button_enabled_on|O botão de configurações é exibido no painel de guias. (Padrão)
termux_settings_button_enabled_title|Mostrar Botão de Configurações
termux_keyboard_header|Teclado
termux_soft_keyboard_enabled_off|O teclado virtual será desativado.
termux_soft_keyboard_enabled_on|O teclado virtual será ativado. (Padrão)
termux_soft_keyboard_enabled_only_if_no_hardware_off|O teclado virtual será ativado mesmo se um teclado físico estiver conectado. (Padrão)
termux_soft_keyboard_enabled_only_if_no_hardware_on|O teclado virtual será ativado apenas se nenhum teclado físico estiver conectado.
termux_soft_keyboard_enabled_only_if_no_hardware_title|Teclado Virtual Apenas Sem Teclado Físico
termux_soft_keyboard_enabled_title|Teclado Virtual Ativado
termux_tasker_preferences_summary|Preferências para o aplicativo Termux:Tasker
termux_terminal_io_preferences_summary|Preferências de E/S do terminal
termux_terminal_io_preferences_title|E/S do Terminal
termux_terminal_view_key_logging_enabled_off|Os logs não terão entradas de teclas da visualização do terminal. (Padrão)
termux_terminal_view_key_logging_enabled_on|Os logs do logcat terão entradas de teclas da visualização do terminal. Eles são muito verbosos e devem ser desativados em circunstâncias normais, pois podem causar problemas de desempenho.
termux_terminal_view_key_logging_enabled_title|Registro de Teclas da Visualização do Terminal
termux_terminal_view_preferences_summary|Preferências para visualização do terminal
termux_terminal_view_preferences_title|Visualização do Terminal
termux_terminal_view_terminal_margin_adjustment_off|O ajuste de margem do terminal será desativado.
termux_terminal_view_terminal_margin_adjustment_on|O ajuste de margem do terminal será ativado. Deve estar ativado para tentar corrigir o problema onde o teclado virtual cobre parte das teclas extras/visualização do terminal. Se causar cintilação na tela do seu dispositivo, desative-o. (Padrão)
termux_terminal_view_terminal_margin_adjustment_title|Ajuste de Margem do Terminal
termux_terminal_view_view_header|Visualização
termux_widget_preferences_summary|Preferências para o aplicativo Termux:Widget
text_input_append_enter_summary|Ao enviar do campo de entrada, também submeter a linha (pressionar Enter). Desative para enviar texto sem uma nova linha no final.
text_input_append_enter_title|Adicionar Enter ao Enviar
text_input_hide_on_send_summary|Quando ativado, o painel de entrada fecha e o foco vai para o terminal após o envio. Desative para manter o painel aberto para comandos consecutivos.
text_input_insert_at_cursor_title|Comportamento de restauração do histórico
text_input_insert_at_cursor_summary|Toque para escolher: inserir no cursor ou substituir todo o campo de entrada
text_input_insert_at_cursor_dialog_title|Modo de restauração do histórico
text_input_insert_at_cursor_option_insert|Inserir no cursor
text_input_insert_at_cursor_option_replace|Substituir todo o campo de entrada
text_input_hide_on_send_title|Ocultar painel de entrada após envio
text_input_show_summary_off|O campo de entrada de texto está oculto
text_input_show_summary_on|O campo de entrada de texto está visível acima das teclas extras
text_input_show_title|Mostrar campo de entrada de texto
text_input_title|Entrada de Texto
theme_title|Tema
theme_mode_title|Tema do Aplicativo
theme_mode_summary|Escolher tema do aplicativo e terminal
title_activity_termux_settings|Configurações do Termux
title_confirm_kill_process|Realmente finalizar esta sessão?
title_create_named_session|Nova sessão nomeada
title_file_received|Salvar arquivo em ~/downloads/
title_max_terminals_reached|Máximo de terminais atingido
title_rename_session|Definir nome da sessão
title_select_url_dialog|Toque na URL para copiar ou pressione longamente para abrir
color_scheme_dialog_title|Esquema de Cores do Terminal
title_select_url_none_found|Nenhuma URL encontrada no terminal.
title_share_selected_text|Texto do terminal
title_share_selected_text_with|Enviar texto selecionado para:
title_share_transcript|Transcrição do terminal
title_share_transcript_with|Enviar transcrição para:
notification_sessions|
notification_tasks_separator|
locale_override_title|Idioma do aplicativo
locale_override_summary|Substituir idioma do app
locale_override_entry_system|Idioma do sistema (tradução automática, possíveis imprecisões)
locale_override_entry_english|Inglês
hide_extra_keys_with_keyboard_title|Ocultar teclas extras com o teclado
hide_extra_keys_with_keyboard_summary|Ocultar automaticamente botões extras quando o teclado estiver fechado; mostrar quando aberto
suggestions_max_count_title|Máx. sugestões
suggestions_max_count_summary|Autocompletar do histórico de mensagens (1–10)
extra_keys_preferences_title|Teclas Extras
extra_keys_preferences_summary|Preferências da barra de teclas extras
extra_keys_header|Teclas extras
extra_keys_category_title|Teclas Extras
extra_keys_layout_title|Layout das teclas
extra_keys_layout_summary|Matriz JSON que define as linhas de teclas extras e seus pop-ups.
extra_keys_style_title|Estilo das teclas
extra_keys_style_summary|Como os caracteres especiais nas teclas são exibidos.
extra_keys_style_default|Padrão
extra_keys_style_arrows_only|Somente setas
extra_keys_style_arrows_all|Todas as setas
extra_keys_style_all|Todas
extra_keys_style_none|Nenhuma
extra_keys_text_all_caps_title|Texto em maiúsculas
extra_keys_text_all_caps_summary|Exibir os rótulos das teclas extras em maiúsculas.
extra_keys_special_button_mode_title|Comportamento das teclas especiais
extra_keys_special_button_mode_summary|Como as teclas modificadoras (CTRL, ALT, SHIFT, FN) respondem ao toque. Fixa: toque para alternar, pressione e segure para travar. Manter: ativa somente enquanto a tecla é pressionada.
extra_keys_special_button_mode_sticky|Fixa (alternar / travar)
extra_keys_special_button_mode_hold|Manter (enquanto pressionada)
input_preferences_title|Entrada
input_preferences_summary|Preferências para entrada de texto e teclado
display_preferences_title|Exibição
display_preferences_summary|Tema, transparência do painel, visualização do terminal, abas, janela e tela cheia
terminal_preferences_title|Avançado
terminal_preferences_summary|Comportamento das teclas, atalhos, sessão, segurança e outras configurações
extra_keys_corner_radius_title|Raio do canto dos botões
sessions_history_preferences_title|Sessões
sessions_history_preferences_summary|Preferências para sessões, abas e histórico
backup_restore_preferences_title|Backup e Restauração
backup_restore_preferences_summary|Fazer backup ou restaurar os dados do Termux
diagnostics_preferences_title|Diagnóstico
diagnostics_preferences_summary|Registro em log e notificações de falha
appearance_category_title|Aparência
language_category_title|Idioma
history_category_title|Histórico
tabs_category_title|Abas
view_category_title|Visualização
window_category_title|Janela
plugin_logging_category_title|Registro de log
failure_notifications_category_title|Notificações de Falha
input_panel_title|Painel de Entrada
theme_mode_entry_dark|Escuro
theme_mode_entry_light|Claro
theme_mode_entry_system|Padrão do sistema
screen_orientation_entry_follow_sensor|Seguir sensor
screen_orientation_entry_portrait_follow_sensor|Retrato (seguir sensor)
screen_orientation_entry_landscape_follow_sensor|Paisagem (seguir sensor)
screen_orientation_entry_portrait|Retrato
screen_orientation_entry_landscape|Paisagem
extra_keys_visibility_title|Mostrar painel de teclas extras
extra_keys_visibility_summary|Quando a barra de botões adicionais é exibida.
extra_keys_visibility_always|Sempre
extra_keys_visibility_keyboard|Apenas quando o teclado estiver aberto
extra_keys_visibility_never|Nunca
extra_keys_invalid_json|JSON inválido para teclas extras. As alterações não foram salvas.
extra_keys_editor_title|Editor de Teclas Extras
extra_keys_editor_summary|Construa visualmente o painel de teclas extras: defina linhas e colunas, depois toque em uma tecla para atribuir um sinal.
extra_keys_editor_columns_title|Colunas
extra_keys_editor_columns_summary|Número de botões por linha (1 a 10).
extra_keys_editor_rows_title|Linhas
extra_keys_editor_rows_summary|Número de linhas de botões (1 a 4).
extra_keys_editor_preview_title|Pré-visualização
extra_keys_editor_preview_summary|Painel ao vivo — toque em qualquer tecla para alterar seu sinal.
extra_keys_editor_signal_dialog_title|Atribuir sinal
extra_keys_editor_custom_text_title|Atalho personalizado
extra_keys_editor_custom_text_message|Pressione qualquer tecla para vincular:
extra_keys_editor_save_title|Aplicar às teclas extras
extra_keys_editor_save_summary|Salvar este layout na configuração de teclas extras.
extra_keys_editor_empty|(vazio)
extra_keys_editor_max_signals|Máximo de 8 sinais por botão
extra_keys_editor_custom_text_no_space|Texto personalizado com espaços não é suportado em combinações
extra_keys_editor_done|Concluído
extra_keys_editor_open_editor|Editar teclas extras
extra_keys_editor_open_editor_summary|Configurar layout, escala e atalhos das teclas
extra_keys_editor_hint|Toque para atribuir a ação principal · Deslize ↑ ↓ ← → para atribuir ações de gesto
extra_keys_editor_mode_assign|Atribuir
extra_keys_editor_mode_move|Mover
extra_keys_editor_hint_move|Arraste uma tecla para outra célula para mover/trocar todas as suas ações
extra_keys_haptic_title|Feedback tátil
extra_keys_haptic_summary|Vibrar ao interagir com o painel de teclas extras
extra_keys_haptic_all|Toque e gestos
extra_keys_haptic_gestures|Apenas gestos
extra_keys_haptic_off|Desativado
extra_keys_editor_signal_keyboard|Alternar teclado
extra_keys_editor_signal_paste|Colar
extra_keys_editor_signal_scroll|Bloqueio de rolagem
extra_keys_editor_signal_space|Espaço
extra_keys_editor_signal_backslash|Barra invertida (\\)
extra_keys_editor_signal_quote|Aspas (\")
extra_keys_editor_signal_apostrophe|Apóstrofo (\')
extra_keys_editor_signal_custom|Atalho personalizado…
termux_api_debugging_title|Depuração do Termux:API
termux_float_debugging_title|Depuração do Termux:Float
termux_tasker_debugging_title|Depuração do Termux:Tasker
termux_widget_debugging_title|Depuração do Termux:Widget
extra_keys_dynamic_font_size_title|Tamanho dinâmico da fonte
extra_keys_dynamic_font_size_summary|Reduzir o tamanho da fonte quando o número de colunas ou de atalhos macro aumentar
extra_keys_font_size_title|Tamanho base da fonte
extra_keys_font_size_summary|Tamanho base do texto para rótulos dos botões
extra_keys_editor_tap_suffix| (Toque)
extra_keys_editor_remove_signal|Remover %s
extra_keys_button_margin_title|Espaçamento dos botões
extra_keys_button_margin_summary|Espaço entre os botões
report_issue_title|Termux Relatar Problema
report_issue_transcript_header|## Transcrição\n
backup_error_open_output|Falha ao abrir arquivo de saída
key_behaviour_category_title|Comportamento das teclas
screen_category_title|Tela
shortcuts_category_title|Atalhos
misc_category_title|Diversos
security_category_title|Segurança
sound_category_title|Som e notificações
session_category_title|Sessão
empty_value_summary|Não definido
shortcut_empty_summary|Não definido (deixe vazio para desativar)
terminal_transcript_rows_title|Linhas de transcrição do terminal
terminal_transcript_rows_summary|Número de linhas mantidas no histórico de rolagem da transcrição.
delete_tmpdir_files_older_than_x_days_on_exit_title|Excluir arquivos antigos do TMPDIR ao sair
delete_tmpdir_files_older_than_x_days_on_exit_summary|Excluir arquivos com mais de N dias do TMPDIR da sessão ao sair (-1 = nunca excluir).
invalid_number|Insira um número válido.
shortcut_invalid_format|Atalho inválido. Use o formato "ctrl+x" ou deixe vazio para desativar.
terminal_cursor_style_title|Estilo do cursor
terminal_cursor_style_summary|Como o cursor do terminal é desenhado.
terminal_cursor_blink_rate_title|Frequência de piscar do cursor
terminal_cursor_blink_rate_summary|Frequência de piscar do cursor em milissegundos.
terminal_cursor_blink_enabled_title|Piscar cursor
bell_character_title|Comportamento do sinal sonoro
bell_character_summary|O que acontece quando o terminal recebe um caractere de sinal sonoro (BEL).
terminal_margin_horizontal_title|Margem horizontal
terminal_margin_horizontal_summary|Margem horizontal do terminal em dp.
terminal_margin_vertical_title|Margem vertical
terminal_margin_vertical_summary|Margem vertical do terminal em dp.
terminal_toolbar_height_title|Escala da altura da barra de ferramentas
terminal_toolbar_height_summary|Fator de escala da altura da barra de teclas extras / barra de ferramentas do terminal.
default_working_directory_title|Diretório de trabalho padrão
default_working_directory_summary|Diretório aberto para novas sessões (deixe vazio para o diretório home).
back_key_title|Comportamento da tecla Voltar
back_key_summary|O que a tecla Voltar física/de software faz no terminal.
volume_keys_title|Comportamento das teclas de volume
volume_keys_summary|Se as teclas de volume controlam o volume ou atuam como teclas virtuais.
soft_keyboard_toggle_behaviour_title|Comportamento de alternar teclado
soft_keyboard_toggle_behaviour_summary|Se a alternância do teclado mostra/oculta ou ativa/desativa o teclado virtual.
ctrl_space_workaround_title|Solução para Ctrl+Space
ctrl_space_workaround_summary|Usar uma solução para que Ctrl+Space seja enviado corretamente.
enforce_char_based_input_title|Forçar entrada baseada em caracteres
enforce_char_based_input_summary|Forçar caracteres a serem enviados um byte de cada vez.
disable_hardware_keyboard_shortcuts_title|Desativar atalhos de teclado físico
disable_hardware_keyboard_shortcuts_summary|Ignorar atalhos de teclado de um teclado físico/externo.
disable_terminal_session_change_toast_title|Desativar aviso de mudança de sessão
disable_terminal_session_change_toast_summary|Não mostrar um aviso ao alternar entre sessões do terminal.
terminal_onclick_url_open_title|Abrir URL ao tocar
terminal_onclick_url_open_summary|Abrir URLs na transcrição do terminal quando tocadas.
fullscreen_title|Tela cheia
fullscreen_summary|Executar Termux em modo tela cheia.
use_fullscreen_workaround_title|Solução para tela cheia
use_fullscreen_workaround_summary|Usar uma solução para tela cheia em dispositivos que a ocultam incorretamente.
night_mode_legacy_title|Modo noturno (legacy night-mode)
night_mode_legacy_summary|Controla a propriedade legacy night-mode. Prefira a configuração de tema na tela de Exibição.
shortcut_summary|Formato: Ctrl+KEY (ex.: Ctrl+a). Deixe vazio para desativar.
shortcut_create_session_title|Atalho de criar sessão
shortcut_next_session_title|Atalho de próxima sessão
shortcut_previous_session_title|Atalho de sessão anterior
shortcut_rename_session_title|Atalho de renomear sessão
allow_external_apps_title|Permitir aplicativos externos
allow_external_apps_summary|Permitir que outros aplicativos iniciem comandos do Termux via RUN_COMMAND.
disable_file_share_receiver_title|Desativar recebimento de arquivos
disable_file_share_receiver_summary|Não aceitar arquivos compartilhados no Termux.
disable_file_view_receiver_title|Desativar visualizador de arquivos
disable_file_view_receiver_summary|Não abrir arquivos enviados ao Termux para visualização.
run_termux_am_socket_server_title|Executar servidor socket termux-am
run_termux_am_socket_server_summary|Iniciar o servidor socket termux-am para comandos entre processos.
hide_soft_keyboard_on_startup_title|Ocultar teclado virtual na inicialização
hide_soft_keyboard_on_startup_summary|Manter o teclado virtual oculto quando o Termux iniciar.
terminal_cursor_style_block|Bloco
terminal_cursor_style_underline|Sublinhado
terminal_cursor_style_bar|Barra
bell_character_vibrate|Vibrar
bell_character_beep|Bipe
bell_character_ignore|Ignorar
back_key_back|Botão Voltar
back_key_escape|Tecla Escape
volume_keys_virtual|Virtual (teclas de volume atuam como teclas)
volume_keys_volume|Volume (controlar volume do dispositivo)
soft_keyboard_toggle_show_hide|Mostrar / ocultar
soft_keyboard_toggle_enable_disable|Ativar / desativar
night_mode_true|Escuro
night_mode_false|Claro
night_mode_system|Padrão do sistema
bootstrap_selector_error_load_sources|Falha ao carregar fontes
bootstrap_selector_install_local_title|Instalar bootstrap local?
bootstrap_selector_install_local_message|Um arquivo bootstrap zip local pode executar código arbitrário. Continue apenas se confiar neste arquivo.
bootstrap_selector_install|Instalar
bootstrap_selector_cancel|Cancelar
bootstrap_selector_restore_title|Restaurar backup
bootstrap_selector_restore_message|Restaurar ambiente Termux de:\n\n%1$s\n\nIsto substituirá qualquer prefixo Termux existente.
bootstrap_selector_restore|Restaurar
bootstrap_selector_restoring|Restaurando backup…
bootstrap_selector_starting_restore|Iniciando restauração
bootstrap_selector_restore_failed|Falha na restauração
bootstrap_selector_ok|OK
bootstrap_download_status_idle|Ocioso
bootstrap_download_status_connecting|Conectando
bootstrap_download_progress_preparing|Preparando download
bootstrap_download_status_installing|Instalando
bootstrap_download_progress_extracting|Extraindo bootstrap
bootstrap_download_status_done|Concluído
bootstrap_download_status_installed|Bootstrap instalado
bootstrap_download_status_failed|Falhou
bootstrap_download_progress_copying_local|Copiando arquivo local
bootstrap_download_progress_copying_internal|Copiando para armazenamento interno
bootstrap_download_status_downloading|Baixando
bootstrap_download_status_verifying|Verificando
bootstrap_download_progress_checking_sha|Verificando SHA-256
bootstrap_download_notification_starting|Iniciando
bootstrap_download_channel_name|Bootstrap do Termux
bootstrap_download_notification_title_success|Bootstrap instalado
bootstrap_download_notification_text_success|Toque para abrir o Termux
bootstrap_download_notification_title_failed|Falha na instalação do bootstrap
bootstrap_restore_error_in_progress|Instalação já em andamento
bootstrap_restore_progress_starting|Iniciando restauração
bootstrap_restore_progress_extracting|Extraindo backup
bootstrap_restore_progress_validating|Validando prefixo
bootstrap_restore_progress_writing_variant|Escrevendo variante
bootstrap_restore_progress_complete|Restauração concluída
bootstrap_restore_error_failed|Falha na restauração
file_receiver_bootstrap_not_installed|Bootstrap não instalado. Abra o aplicativo Termux primeiro.
run_command_bootstrap_not_installed|Bootstrap não instalado. Abra o aplicativo Termux para instalá-lo primeiro.
backup_restore_progress_restoring|Restaurando: %1$d entradas, %2$d MB
bootstrap_install_progress_verify_sha|Verificando soma de verificação
bootstrap_install_progress_verify_manifest|Verificando manifesto do pacote
bootstrap_install_progress_extract|Extraindo pacotes
bootstrap_install_progress_finalize|Finalizando instalação
bootstrap_install_progress_write_variant|Escrevendo marcador de variante
bootstrap_install_progress_done|Concluído
